Date,Open,High,Low,Close,High_Last_7_Days,Low_Last_7_Days,Days_Since_High_Last_7_Days,Days_Since_Low_Last_7_Days,%_Diff_From_High_Last_7_Days,%_Diff_From_Low_Last_7_Days,High_Next_5_Days,Low_Next_5_Days,%_Diff_From_High_Next_5_Days,%_Diff_From_Low_Next_5_Days
2018-07-11,6306.87,6405.59,6293.68,6394.36,6405.59,6293.68,0,0,-0.1753156227607523,1.5997000165245037,6761.84,6349.83,-5.434615430119619,0.7012786169078502
2018-07-12,6394.36,6394.93,6084.0,6253.6,6405.59,6084.0,1,0,-2.3727712825828657,2.7876397107166397,7476.24,6349.83,-16.35367510941328,-1.5154736426014486
2018-07-13,6253.66,6349.21,6131.54,6229.83,6405.59,6084.0,2,1,-2.7438534155323744,2.3969428007889535,7590.65,6349.83,-17.927581959384238,-1.8898143729832138
2018-07-14,6229.61,6332.46,6190.18,6268.75,6405.59,6084.0,3,2,-2.136259111182579,3.0366535174227485,7590.65,6349.83,-17.414845895937763,-1.2768845780123237
2018-07-15,6268.32,6401.5,6245.75,6364.26,6405.59,6084.0,4,3,-0.645217692671556,4.606508875739649,7676.55,6349.83,-17.09478867459992,0.227250178351236
2018-07-16,6364.26,6761.84,6349.83,6740.55,6761.84,6084.0,0,4,-0.3148551281899596,10.791420118343197,7676.55,6677.56,-12.192977314027784,0.943308633692543
2018-07-17,6740.54,7476.24,6677.56,7326.7,7476.24,6084.0,0,5,-2.000203310755139,20.425706771860614,7676.55,7220.37,-4.557385804821181,1.4726392137799023
2018-07-18,7326.76,7590.65,7253.71,7383.39,7590.65,6084.0,0,6,-2.7304644529783264,21.357495069033536,7798.59,7220.37,-5.324039345574006,2.2577790334844394
2018-07-19,7383.39,7563.7,7289.9,7477.5,7590.65,6131.54,1,6,-1.490649680857366,21.951418403859392,8485.71,7220.37,-11.881268626903339,3.5611748428404657
2018-07-20,7477.1,7676.55,7279.34,7333.93,7676.55,6190.18,0,6,-4.463202871081409,18.476845584457962,8485.71,7220.37,-13.573171838302263,1.5727725864464064
2018-07-21,7333.93,7453.07,7220.37,7405.4,7676.55,6245.75,1,6,-3.5321856823703426,18.56702557739262,8485.71,7345.25,-12.730932355689736,0.81889656580783
2018-07-22,7405.4,7569.28,7345.25,7398.64,7676.55,6349.83,2,6,-3.6202460740827567,16.517135104404375,8485.71,7376.66,-12.810595695587038,0.29796683051679856
2018-07-23,7398.64,7798.59,7376.66,7718.0,7798.59,6677.56,0,6,-1.0333919336700628,15.581140416559336,8485.71,7692.16,-9.047092111325973,0.3359264497878378
2018-07-24,7718.0,8485.71,7692.16,8395.82,8485.71,7220.37,0,3,-1.0593102993149592,16.279636639119598,8481.11,7806.25,-1.0056466665330466,7.552538030424335
2018-07-25,8395.81,8481.11,8061.07,8170.23,8485.71,7220.37,1,4,-3.7177796554442657,13.155281516044187,8302.24,7806.25,-1.590052805026116,4.662674139311443
2018-07-26,8170.37,8302.24,7862.67,7937.25,8485.71,7220.37,2,5,-6.463336597644736,9.928577067380205,8291.55,7663.7,-4.273024947084674,3.5694246904236877
2018-07-27,7937.1,8278.01,7806.25,8182.89,8485.71,7220.37,3,6,-3.5685876609028453,13.330618791003793,8291.55,7449.31,-1.3104908008755776,9.847623471167127
2018-07-28,8182.88,8238.04,8070.04,8230.87,8485.71,7345.25,4,6,-3.003166499915721,12.057043667676401,8291.55,7449.31,-0.7318293925743495,10.491709970453645
2018-07-29,8230.82,8291.55,8123.53,8216.78,8485.71,7376.66,5,6,-3.1692103548200268,11.38889416077196,8273.61,7296.76,-0.6868827513020305,12.608609848754796
2018-07-30,8216.7,8273.61,7867.44,8176.06,8485.71,7692.16,6,6,-3.649075917041694,6.290820783759056,8176.27,6940.15,-0.002568408332895518,17.808116539267896
2018-07-31,8176.08,8176.27,7663.7,7735.3,8481.11,7663.7,6,0,-8.793778172904258,0.9342745671151058,7760.74,6898.31,-0.32780379190643677,12.133261624948716
2018-08-01,7736.25,7760.74,7449.31,7610.9,8302.24,7449.31,6,0,-8.327150263061538,2.1691941938246524,7713.32,6854.79,-1.3278328916731066,11.030388968881608
2018-08-02,7610.9,7713.32,7470.86,7542.34,8291.55,7449.31,4,1,-9.035825629707343,1.2488404966365978,7542.49,6685.02,-0.0019887331637116683,12.824494167556711
2018-08-03,7542.34,7542.49,7296.76,7417.6,8291.55,7296.76,5,0,-10.540248807520898,1.656077491927926,7490.89,6133.03,-0.9783884157957193,20.945111959341478
2018-08-04,7417.6,7490.89,6940.15,7017.89,8291.55,6940.15,6,0,-15.360939751916098,1.1201486999560628,7160.4,6133.03,-1.9902519412323239,14.42777876514546
2018-08-05,7017.89,7092.53,6898.31,7042.39,8273.61,6898.31,6,0,-14.881291238044822,2.0886275044177474,7160.4,6025.91,-1.6480922853471778,16.868489572529302
2018-08-06,7042.57,7160.4,6854.79,6945.78,8176.27,6854.79,6,0,-15.049527474019333,1.3273929617099836,7150.86,6014.26,-2.867906797224389,15.488522278717573
2018-08-07,6945.77,7150.86,6685.02,6723.21,7760.74,6685.02,6,0,-13.368957083989411,0.5712772736655926,6723.99,6014.26,-0.011600255205610737,11.787817620122839
2018-08-08,6723.29,6723.99,6133.03,6285.02,7713.32,6133.03,6,0,-18.51731809389471,2.4782203902475723,6631.23,6014.26,-5.220901703002296,4.501966991782866
2018-08-09,6285.06,6631.23,6195.02,6543.24,7542.49,6133.03,6,1,-13.248277425624694,6.688537313530181,6582.14,5891.87,-0.5909932028185445,11.055403462737635
2018-08-10,6543.25,6582.14,6025.91,6153.41,7490.89,6025.91,6,0,-17.85475424148533,2.115862998285736,6620.07,5891.87,-7.049170174937726,4.438998144901364
